AIRPORT;TIME;FLIGHT;TO/FROM;AIRLINE;AIRCRAFT;STATUS;TYPE
SUB;8:55:00 AM;QG671;LOP;Citilink ;A320 (PK-GQS) ;Landed 8:27 AM;Arrival
SUB;9:05:00 AM;SQ922;SIN;Singapore Airlines ;A359 (9V-SHL) ;Landed 9:23 AM;Arrival
SUB;9:10:00 AM;MH871;KUL;Malaysia Airlines ;B738 (9M-MXH) ;Landed 9:09 AM;Arrival
SUB;9:25:00 AM;ID6584;CGK;Batik Air ;738;Canceled;Arrival
SUB;9:35:00 AM;IU635;BDJ;Super Air Jet ;A320 (PK-SAO) ;Landed 9:35 AM;Arrival
SUB;9:35:00 AM;TR262;SIN;Scoot ;A20N (9V-TNC) ;Landed 9:31 AM;Arrival
SUB;9:40:00 AM;JT791;UPG;Lion Air ;B739 (PK-LGY) ;Landed 10:28 AM;Arrival
SUB;9:40:00 AM;JT781;UPG;Lion Air ;738;Unknown;Arrival
SUB;9:40:00 AM;JT981;UPG;Lion Air ;738;Unknown;Arrival
SUB;9:40:00 AM;QG351;UPG;Citilink ;A20N (PK-GTD) ;Landed 9:27 AM;Arrival
SUB;9:45:00 AM;JT970;BTH;Lion Air ;B739 (PK-LHT) ;Landed 9:56 AM;Arrival
SUB;9:50:00 AM;JT367;BPN;Lion Air ;B739 (PK-LHP) ;Landed 9:46 AM;Arrival
SUB;9:55:00 AM;IP210;CGK;Pelita Air ;A320 (PK-PWH) ;Landed 9:38 AM;Arrival
SUB;10:00:00 AM;ID6134;PKN;Batik Air ;A320 (PK-LUO) ;Landed 9:53 AM;Arrival
SUB;10:05:00 AM;ID7513;HLP;Batik Air ;A320 (PK-LUQ) ;Landed 9:49 AM;Arrival
SUB;10:10:00 AM;ID7066;HLP;Batik Air ;32A ;Unknown;Arrival
SUB;10:20:00 AM;ID6594;CGK;Batik Air ;A320 (PK-LUU) ;Unknown;Arrival
SUB;10:35:00 AM;JT697;KOE;Lion Air ;B739 (PK-LHJ) ;Landed 10:53 AM;Arrival
SUB;10:40:00 AM;GA322;CGK;Garuda Indonesia ;B738 (PK-GFU) ;Landed 10:48 AM;Arrival
SUB;10:40:00 AM;QZ321;KUL;AirAsia ;A320 (PK-AZM) ;Landed 11:25 AM;Arrival
SUB;10:45:00 AM;IU641;AAP;Super Air Jet ;A320 (PK-SJV) ;Landed 11:08 AM;Arrival
SUB;10:45:00 AM;JT707;UPG;Lion Air ;739;Unknown;Arrival
SUB;11:00:00 AM;QG461;AAP;Citilink ;A320 (PK-GQH) ;Landed 11:21 AM;Arrival
SUB;11:25:00 AM;ID6592;CGK;Batik Air ;A320 (PK-BKR) ;Unknown;Arrival
SUB;11:25:00 AM;JT694;CGK;Lion Air (Bukalapak Livery) ;B739 (PK-LHH) ;Landed 11:17 AM;Arrival
SUB;11:45:00 AM;JT3319;BDJ;Lion Air (20 years Sticker) ;B739 (PK-LHM) ;Landed 12:00 PM;Arrival
SUB;11:50:00 AM;IU181;KUL;Super Air Jet ;A320 (PK-SAK) ;Landed 11:47 AM;Arrival
SUB;11:50:00 AM;JT805;DPS;Lion Air ;B739 (PK-LHI) ;Landed 11:55 AM;Arrival
SUB;11:55:00 AM;IU613;BPN;Super Air Jet ;A320 (PK-STS) ;Landed 12:02 PM;Arrival
SUB;12:00:00 PM;QZ329;KUL;AirAsia (AirAsia Mobile App Livery) ;A320 (PK-AZU) ;Landed 11:51 AM;Arrival
SUB;12:00:00 PM;IN193;PKN;Nam Air ;735;Unknown;Arrival
SUB;12:10:00 PM;QG487;BDJ;Citilink ;A320 (PK-GQS) ;Landed 12:19 PM;Arrival
SUB;12:15:00 PM;IP204;CGK;Pelita Air ;A320 (PK-PWE) ;Landed 12:16 PM;Arrival
SUB;12:30:00 PM;JT261;BPN;Lion Air ;B739 (PK-LHP) ;Landed 2:44 PM;Arrival
SUB;12:30:00 PM;JT823;LOP;Lion Air ;B739 (PK-LGL) ;Landed 12:52 PM;Arrival
SUB;12:35:00 PM;JT869;TTE;Lion Air ;B738 (PK-LOH) ;Landed 12:09 PM;Arrival
SUB;12:40:00 PM;ID6596;CGK;Batik Air ;B738 (PK-LZM) ;Landed 12:32 PM;Arrival
SUB;12:50:00 PM;GA312;CGK;Garuda Indonesia (Retro 1960 livery) ;B738 (PK-GFM) ;Landed 12:47 PM;Arrival
SUB;12:55:00 PM;JT317;AAP;Lion Air ;B738 (PK-LJV) ;Landed 12:58 PM;Arrival
SUB;1:10:00 PM;IU549;UPG;Super Air Jet ;320;Unknown;Arrival
SUB;1:15:00 PM;JT839;PNK;Lion Air ;B738 (PK-LPL) ;Landed 1:30 PM;Arrival
SUB;1:20:00 PM;IU633;BDJ;Super Air Jet ;A320 (PK-SJH) ;Landed 1:50 PM;Arrival
SUB;1:25:00 PM;QG716;CGK;Citilink ;A320 (PK-GQL) ;Landed 2:36 PM;Arrival
SUB;1:30:00 PM;QG178;HLP;Citilink ;A320 (PK-GQM) ;Landed 1:03 PM;Arrival
SUB;1:35:00 PM;JT787;UPG;Lion Air ;B738 (PK-LJY) ;Landed 2:17 PM;Arrival
SUB;1:35:00 PM;JT949;UPG;Lion Air ;738;Unknown;Arrival
SUB;1:35:00 PM;JT3855;UPG;Lion Air ;738;Unknown;Arrival
SUB;1:40:00 PM;IW1805;SMQ;Wings Air ;AT76 (PK-WHK) ;Landed 1:34 PM;Arrival
SUB;1:40:00 PM;QG431;BPN;Citilink ;A20N (PK-GTA) ;Landed 1:47 PM;Arrival
SUB;1:40:00 PM;3K247;SIN;Jetstar ;A320 (9V-JSX) ;Landed 1:38 PM;Arrival
SUB;1:55:00 PM;ID7515;HLP;Batik Air ;A320 (PK-LUH) ;Landed 1:43 PM;Arrival
SUB;1:55:00 PM;JT749;MDC;Lion Air ;B739 (PK-LHO) ;Landed 2:47 PM;Arrival
SUB;2:00:00 PM;QZ626;DPS;AirAsia ;A320 (PK-AZM) ;Landed 2:28 PM;Arrival
SUB;2:15:00 PM;JT365;BPN;Lion Air ;B739 (PK-LHP) ;Unknown;Arrival
SUB;2:25:00 PM;IP208;CGK;Pelita Air ;A320 (PK-PWA) ;Landed 2:12 PM;Arrival
SUB;2:25:00 PM;QG699;DPS;Citilink ;A320 (PK-GQH) ;Landed 3:03 PM;Arrival
SUB;2:30:00 PM;ID6406;CGK;Batik Air ;32A ;Unknown;Arrival
SUB;2:30:00 PM;ID6863;CGK;Batik Air ;32A ;Unknown;Arrival
SUB;2:45:00 PM;IU545;UPG;Super Air Jet ;A320 (PK-SGC) ;Landed 3:55 PM;Arrival
SUB;2:50:00 PM;ID7501;HLP;Batik Air ;A320 (PK-LUQ) ;Landed 2:54 PM;Arrival
SUB;2:50:00 PM;JT681;PKY;Lion Air ;B739 (PK-LHS) ;Landed 2:39 PM;Arrival
SUB;2:50:00 PM;MH873;KUL;Malaysia Airlines ;B738 (9M-MSF) ;Landed 3:18 PM;Arrival
SUB;2:55:00 PM;QZ323;KUL;AirAsia ;A320 (PK-AZL) ;Landed 2:31 PM;Arrival
SUB;3:05:00 PM;JT857;PLM;Lion Air ;B738 (PK-LKK) ;Landed 3:51 PM;Arrival
