AIRPORT,TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS,TYPE
TKG,6:55:00 PM,JT242,Jakarta (CGK),Lion Air ,B739 (PK-LHO) ,Landed 6:50 PM,Arrival
TKG,7:00:00 AM,JT241,Jakarta (CGK),Lion Air ,B738 (PK-LKW) ,Departed 7:08 AM,Departure
TKG,7:10:00 AM,GA73,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GMA) ,Departed 7:14 AM,Departure
TKG,8:00:00 AM,JT175,Jakarta (CGK),Lion Air ,739,Unknown,Departure
TKG,9:15:00 AM,IU801,Jakarta (CGK),Super Air Jet ,A320 (PK-SAQ) ,Departed 10:44 AM,Departure
TKG,10:50:00 AM,QG995,Jakarta (CGK),Citilink ,A320 (PK-GLP) ,Departed 11:40 AM,Departure
TKG,11:10:00 AM,JT171,Jakarta (CGK),Lion Air ,739,Canceled,Departure
TKG,12:25:00 PM,QZ183,Denpasar (DPS),AirAsia ,A320 (PK-AZG) ,Departed 12:44 PM,Departure
TKG,1:30:00 PM,GA7504,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GMM) ,Departed 2:29 PM,Departure
TKG,2:10:00 PM,QZ181,Jakarta (CGK),AirAsia ,A320 (PK-AZP) ,Departed 2:17 PM,Departure
TKG,2:15:00 PM,JT243,Jakarta (CGK),Lion Air ,B739 (PK-LGU) ,Departed 2:25 PM,Departure
TKG,4:00:00 PM,JT123,Jakarta (CGK),Lion Air ,B739 (PK-LSS) ,Departed 5:08 PM,Departure
TMC,9:30:00 AM,IN280,Denpasar (DPS),NAM Air ,B735 (PK-NAS) ,Landed 8:22 AM,Arrival
TMC,9:30:00 AM,IW1919,Kupang (KOE),Wings Air ,AT75 (PK-WFO) ,Unknown,Arrival
TMC,12:00:00 PM,IW1832,Denpasar (DPS),Wings Air ,AT75 (PK-WFH) ,Landed 11:51 AM,Arrival
TMC,3:45:00 PM,IW1834,Denpasar (DPS),Wings Air ,AT75 (PK-WFH) ,Landed 3:37 PM,Arrival
TMC,9:55:00 AM,IW1918,Kupang (KOE),Wings Air ,AT75 (PK-WFO) ,Unknown,Departure
TMC,10:30:00 AM,IN280,Kupang (KOE),Nam Air ,735,Unknown,Departure
TMC,12:25:00 PM,IW1833,Denpasar (DPS),Wings Air ,AT75 (PK-WFH) ,Departed 12:21 PM,Departure
TMC,4:05:00 PM,IW1835,Denpasar (DPS),Wings Air ,AT75 (PK-WFH) ,Departed 4:05 PM,Departure
TMH,9:55:00 AM,IL281,Jayapura (DJJ),Trigana Air ,D38 ,Unknown,Arrival
TMH,1:50:00 PM,IL285,Merauke (MKQ),Trigana Air ,D38 ,Unknown,Arrival
TMH,10:10:00 AM,IL286,Merauke (MKQ),Trigana Air ,D38 ,Unknown,Departure
TMH,2:00:00 PM,IL282,Jayapura (DJJ),Trigana Air ,D38 ,Unknown,Departure
TNJ,9:00:00 AM,RI610,Jakarta (CGK),Rimbun Air ,73F ,Unknown,Arrival
TNJ,11:00:00 AM,ID6824,Jakarta (CGK),Batik Air ,A320 (PK-BKV) ,Landed 11:05 AM,Arrival
TNJ,3:05:00 PM,QG974,Jakarta (CGK),Citilink (Retro Livery) ,A320 (PK-GQI) ,Landed 3:26 PM,Arrival
TNJ,5:35:00 PM,GA288,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GMM) ,Landed 5:59 PM,Arrival
TNJ,7:00:00 AM,GA289,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GFS) ,Departed 7:54 AM,Departure
TNJ,10:00:00 AM,RI611,Batam (BTH),Rimbun Air ,73F ,Unknown,Departure
TNJ,11:45:00 AM,ID6825,Jakarta (CGK),Batik Air ,A320 (PK-BKV) ,Departed 11:53 AM,Departure
TNJ,3:35:00 PM,QG975,Jakarta (CGK),Citilink (Retro Livery) ,A320 (PK-GQI) ,Departed 4:23 PM,Departure
TRK,4:50:00 AM,9X3072,San Carlos (SQL),Surf Air ,PC12 (N853SA) ,Diverted to TKF,Arrival
TRK,9:45:00 AM,IU535,Balikpapan (BPN),Super Air Jet ,A320 (PK-SAY) ,Unknown,Arrival
TRK,11:05:00 AM,QG400,Balikpapan (BPN),Citilink ,A320 (PK-GQE) ,Unknown,Arrival
TRK,12:25:00 PM,IU692,Balikpapan (BPN),Super Air Jet ,A320 (PK-STC) ,Unknown,Arrival
TRK,1:30:00 PM,ID6674,Jakarta (CGK),Batik Air ,A320 (PK-BLA) ,Unknown,Arrival
TRK,7:45:00 PM,JT268,Surabaya (SUB),Lion Air ,B739 (PK-LKM) ,Unknown,Arrival
TRK,7:00:00 AM,JT267,Surabaya (SUB),Lion Air ,B739 (PK-LHI) ,Departed 6:55 AM,Departure
TRK,9:00:00 AM,SQS311,Malinau (LNU),Susi Air ,CN1 ,Unknown,Departure
TRK,10:30:00 AM,IU534,Balikpapan (BPN),Super Air Jet ,A320 (PK-SAY) ,Departed 11:32 AM,Departure
TRK,11:35:00 AM,QG401,Balikpapan (BPN),Citilink ,A320 (PK-GQE) ,Departed 11:47 AM,Departure
TRK,1:10:00 PM,IU693,Balikpapan (BPN),Super Air Jet ,A320 (PK-STC) ,Departed 1:56 PM,Departure
TRK,2:20:00 PM,ID6675,Jakarta (CGK),Batik Air ,A320 (PK-BLA) ,Departed 2:40 PM,Departure
TRT,10:40:00 AM,IW1330,Makassar (UPG),Wings Air ,AT76 (PK-WHF) ,Unknown,Arrival
TRT,11:10:00 AM,IW1331,Makassar (UPG),Wings Air ,AT76 (PK-WHF) ,Estimated dep. 11:12 A,Departure
TTE,1:20:00 AM,RI712,Manado (MDC),Rimbun Air ,73F ,Unknown,Arrival
TTE,7:05:00 AM,GA648,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GNF) ,Landed 6:55 AM,Arrival
TTE,8:10:00 AM,IW1173,Labuha (LAH),Wings Air ,AT76 (PK-WGO) ,Landed 8:09 AM,Arrival
